year,variable,value,unit,source_id
1382,gasoline,56,million_liter_per_day,S5
1383,gasoline,61,million_liter_per_day,S5
1384,gasoline,67,million_liter_per_day,S5
1385,gasoline,74,million_liter_per_day,S5
1386,gasoline,65,million_liter_per_day,S5
1387,gasoline,67,million_liter_per_day,S5
1388,gasoline,65,million_liter_per_day,S5
1389,gasoline,61,million_liter_per_day,S5
1390,gasoline,60,million_liter_per_day,S5
1391,gasoline,64,million_liter_per_day,S5
1392,gasoline,68,million_liter_per_day,S5
1393,gasoline,70,million_liter_per_day,S5
1394,gasoline,71,million_liter_per_day,S5
1395,gasoline,75,million_liter_per_day,S5
1396,gasoline,81,million_liter_per_day,S5
1397,gasoline,89,million_liter_per_day,S5
1398,gasoline,89,million_liter_per_day,S5
1399,gasoline,75,million_liter_per_day,S5
1400,gasoline,88,million_liter_per_day,S5
1401,gasoline,105,million_liter_per_day,S5
1402,gasoline,120,million_liter_per_day,S5
1382,house_price,0.599,million_toman_per_m2,S2
1383,house_price,0.584,million_toman_per_m2,S2
1384,house_price,0.649,million_toman_per_m2,S2
1385,house_price,0.831,million_toman_per_m2,S2
1386,house_price,1.509,million_toman_per_m2,S2
1387,house_price,1.778,million_toman_per_m2,S2
1388,house_price,1.607,million_toman_per_m2,S2
1389,house_price,1.735,million_toman_per_m2,S2
1390,house_price,2.041,million_toman_per_m2,S2
1391,house_price,2.964,million_toman_per_m2,S2
1392,house_price,3.954,million_toman_per_m2,S2
1393,house_price,4.176,million_toman_per_m2,S2
1394,house_price,4.141,million_toman_per_m2,S2
1395,house_price,4.372,million_toman_per_m2,S2
1396,house_price,4.822,million_toman_per_m2,S2
1397,house_price,8.241,million_toman_per_m2,S2
1398,house_price,13.33,million_toman_per_m2,S2
1399,house_price,24.029,million_toman_per_m2,S2
1400,house_price,31.296,million_toman_per_m2,S2
1382,min_wage,853380,rial_per_month,S3
1383,min_wage,1066020,rial_per_month,S3
1384,min_wage,1225920,rial_per_month,S3
1385,min_wage,1500000,rial_per_month,S3
1386,min_wage,1830000,rial_per_month,S3
1387,min_wage,2196000,rial_per_month,S3
1388,min_wage,2635200,rial_per_month,S3
1389,min_wage,3030000,rial_per_month,S3
1390,min_wage,3303000,rial_per_month,S3
1391,min_wage,3897000,rial_per_month,S3
1392,min_wage,4871250,rial_per_month,S3
1393,min_wage,6089100,rial_per_month,S3
1394,min_wage,7124250,rial_per_month,S3
1395,min_wage,8121660,rial_per_month,S3
1396,min_wage,9299310,rial_per_month,S3
1397,min_wage,11112690,rial_per_month,S3
1398,min_wage,15168810,rial_per_month,S3
1399,min_wage,18354270,rial_per_month,S3
1400,min_wage,26554950,rial_per_month,S3
1401,min_wage,41797500,rial_per_month,S3
1402,min_wage,53082840,rial_per_month,S3
1390,tehran_rent,12950,toman_per_m2,S2
1391,tehran_rent,15470,toman_per_m2,S2
1392,tehran_rent,18590,toman_per_m2,S2
1393,tehran_rent,20860,toman_per_m2,S2
1394,tehran_rent,22900,toman_per_m2,S2
1395,tehran_rent,23420,toman_per_m2,S2
1396,tehran_rent,28210,toman_per_m2,S2
1397,tehran_rent,36450,toman_per_m2,S2
1398,tehran_rent,47500,toman_per_m2,S2
1399,tehran_rent,62900,toman_per_m2,S2
1400,tehran_rent,84800,toman_per_m2,S2
1401,tehran_rent,126900,toman_per_m2,S2
