dataset_id,dataset_title,sub_table,source_kind,source_label,evidence_tier,verification,date_jalali_raw,date_jalali_ym,date_status,geography_level,district_number,district_raw,area_name,floor_area_sqm,building_age_years,building_age_text,deposit_toman,deposit_toman_min,deposit_toman_max,deposit_raw,rent_toman,rent_toman_min,rent_toman_max,rent_raw,rent_is_free,amenities,flag_amount_ambiguous,issue_classes,notes,source_row
3,Aban 1404 Rental Prices (22 Districts of Tehran),,image_transcription,"User Images (Turns 4, 5, 6)",C,unverified_transcription,آبان 1404 (Aban 1404),1404-08,explicit,neighbourhood,1,1,تجریش، شریعتی,125,6,6,1000000000.0,,,1000,60000000.0,,,60,False,,False,,,103
3,Aban 1404 Rental Prices (22 Districts of Tehran),,image_transcription,"User Images (Turns 4, 5, 6)",C,unverified_transcription,آبان 1404 (Aban 1404),1404-08,explicit,neighbourhood,1,1,زعفرانیه، اعجازی,125,7,7,1500000000.0,,,1500,45000000.0,,,45,False,,False,,,104
3,Aban 1404 Rental Prices (22 Districts of Tehran),,image_transcription,"User Images (Turns 4, 5, 6)",C,unverified_transcription,آبان 1404 (Aban 1404),1404-08,explicit,neighbourhood,1,1,فرمانیه، نوبان,140,10,10,1000000000.0,,,1000,85000000.0,,,85,False,,False,,,105
3,Aban 1404 Rental Prices (22 Districts of Tehran),,image_transcription,"User Images (Turns 4, 5, 6)",C,unverified_transcription,آبان 1404 (Aban 1404),1404-08,explicit,neighbourhood,1,1,ولنجک، ساسان,130,8,8,1000000000.0,,,1000,70000000.0,,,70,False,,False,,,106
3,Aban 1404 Rental Prices (22 Districts of Tehran),,image_transcription,"User Images (Turns 4, 5, 6)",C,unverified_transcription,آبان 1404 (Aban 1404),1404-08,explicit,neighbourhood,1,1,ارگ، نوهار,130,6,6,1000000000.0,,,1000,60000000.0,,,60,False,,False,,,107
3,Aban 1404 Rental Prices (22 Districts of Tehran),,image_transcription,"User Images (Turns 4, 5, 6)",C,unverified_transcription,آبان 1404 (Aban 1404),1404-08,explicit,neighbourhood,2,2,سعادت‌آباد، صرافها,100,6,6,1000000000.0,,,1000,40000000.0,,,40,False,,False,,,108
3,Aban 1404 Rental Prices (22 Districts of Tehran),,image_transcription,"User Images (Turns 4, 5, 6)",C,unverified_transcription,آبان 1404 (Aban 1404),1404-08,explicit,neighbourhood,2,2,گیشا,90,9,9,800000000.0,,,800,30000000.0,,,30,False,,False,,,109
3,Aban 1404 Rental Prices (22 Districts of Tehran),,image_transcription,"User Images (Turns 4, 5, 6)",C,unverified_transcription,آبان 1404 (Aban 1404),1404-08,explicit,neighbourhood,2,2,مرزداران شرقی، زاگرس,78,9,9,500000000.0,,,500,55000000.0,,,55,False,,False,,,110
3,Aban 1404 Rental Prices (22 Districts of Tehran),,image_transcription,"User Images (Turns 4, 5, 6)",C,unverified_transcription,آبان 1404 (Aban 1404),1404-08,explicit,neighbourhood,2,2,شهرآرا، بیست و هفتم,75,9,9,550000000.0,,,550,26000000.0,,,26,False,,False,,,111
3,Aban 1404 Rental Prices (22 Districts of Tehran),,image_transcription,"User Images (Turns 4, 5, 6)",C,unverified_transcription,آبان 1404 (Aban 1404),1404-08,explicit,neighbourhood,2,2,دریا نو، زنجان شمالی,85,8,8,500000000.0,,,500,31000000.0,,,31,False,,False,,,112
