dataset_id,dataset_title,sub_table,source_kind,source_label,evidence_tier,verification,date_jalali_raw,date_jalali_ym,date_status,geography_level,district_number,district_raw,area_name,floor_area_sqm,building_age_years,building_age_text,deposit_toman,deposit_toman_min,deposit_toman_max,deposit_raw,rent_toman,rent_toman_min,rent_toman_max,rent_raw,rent_is_free,amenities,flag_amount_ambiguous,issue_classes,notes,source_row
8,ISNA Rentals (Tir 1402),,image_transcription,User Image (Turn 13),C,unverified_transcription,21 تیر 1402 (21 Tir 1402),1402-04,explicit,neighbourhood,,,بریانک,61,12,12 سال,300000000.0,,,۳۰۰ میلیون,2000000.0,,,۲ میلیون,False,آسانسور,False,,,408
8,ISNA Rentals (Tir 1402),,image_transcription,User Image (Turn 13),C,unverified_transcription,21 تیر 1402 (21 Tir 1402),1402-04,explicit,neighbourhood,,,جنت‌آباد,60,4,4 سال,600000000.0,,,۶۰۰ میلیون,0.0,,,رایگان,True,پارکینگ، انباری، آسانسور,False,notation,free_of_charge_as_written,409
8,ISNA Rentals (Tir 1402),,image_transcription,User Image (Turn 13),C,unverified_transcription,21 تیر 1402 (21 Tir 1402),1402-04,explicit,neighbourhood,,,پونک,75,17,17 سال,750000000.0,,,۷۵۰ میلیون,0.0,,,رایگان,True,پارکینگ، انباری,False,notation,free_of_charge_as_written,410
8,ISNA Rentals (Tir 1402),,image_transcription,User Image (Turn 13),C,unverified_transcription,21 تیر 1402 (21 Tir 1402),1402-04,explicit,neighbourhood,,,گمرک,40,9,9 سال,300000000.0,,,۳۰۰ میلیون,0.0,,,رایگان,True,-,False,notation,free_of_charge_as_written,411
8,ISNA Rentals (Tir 1402),,image_transcription,User Image (Turn 13),C,unverified_transcription,21 تیر 1402 (21 Tir 1402),1402-04,explicit,neighbourhood,,,شهرک ژاندارمری,114,14,14 سال,800000000.0,,,۸۰۰ میلیون,13000000.0,,,۱۳ میلیون,False,پارکینگ، انباری، آسانسور,False,,,412
8,ISNA Rentals (Tir 1402),,image_transcription,User Image (Turn 13),C,unverified_transcription,21 تیر 1402 (21 Tir 1402),1402-04,explicit,neighbourhood,,,پاسداران,95,4,4 سال,1200000000.0,,,۱/۲ میلیارد,6000000.0,,,۶ میلیون,False,پارکینگ، انباری، آسانسور,True,source_ambiguity,persian_decimal_slash:1/2,413
8,ISNA Rentals (Tir 1402),,image_transcription,User Image (Turn 13),C,unverified_transcription,21 تیر 1402 (21 Tir 1402),1402-04,explicit,neighbourhood,,,جردن,110,16,16 سال,500000000.0,,,۵۰۰ میلیون,25000000.0,,,۲۵ میلیون,False,پارکینگ، انباری، آسانسور,False,,,414
8,ISNA Rentals (Tir 1402),,image_transcription,User Image (Turn 13),C,unverified_transcription,21 تیر 1402 (21 Tir 1402),1402-04,explicit,neighbourhood,,,نیاوران,110,12,12 سال,1400000000.0,,,۱/۴ میلیارد,0.0,,,رایگان,True,پارکینگ، انباری، آسانسور,True,notation;source_ambiguity,persian_decimal_slash:1/4; free_of_charge_as_written,415
8,ISNA Rentals (Tir 1402),,image_transcription,User Image (Turn 13),C,unverified_transcription,21 تیر 1402 (21 Tir 1402),1402-04,explicit,neighbourhood,,,صادقیه,80,11,11 سال,300000000.0,,,۳۰۰ میلیون,10000000.0,,,۱۰ میلیون,False,پارکینگ، انباری,False,,,416
8,ISNA Rentals (Tir 1402),,image_transcription,User Image (Turn 13),C,unverified_transcription,21 تیر 1402 (21 Tir 1402),1402-04,explicit,neighbourhood,,,سلیمانی,53,12,12 سال,250000000.0,,,۲۵۰ میلیون,3000000.0,,,۳ میلیون,False,پارکینگ، انباری,False,,,417
