dataset_id,dataset_title,sub_table,source_kind,source_label,evidence_tier,verification,date_jalali_raw,date_jalali_ym,date_status,geography_level,district_number,district_raw,area_name,floor_area_sqm,building_age_years,building_age_text,deposit_toman,deposit_toman_min,deposit_toman_max,deposit_raw,rent_toman,rent_toman_min,rent_toman_max,rent_raw,rent_is_free,amenities,flag_amount_ambiguous,issue_classes,notes,source_row
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,درشت,90,20,20,500000000.0,,,500,30000000.0,,,30,False,,False,,,39
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,درشت,75,25,25,200000000.0,,,200,22000000.0,,,22,False,,False,,,40
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,هفت حوض,83,15,15,1500000000.0,,,1500,24000000.0,,,24,False,,False,,,41
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,هفت حوض,70,17,17,1200000000.0,,,1200,,,,-,False,,False,,,42
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,نارمک,71,20,20,1000000000.0,,,1000,9000000.0,,,9,False,,False,,,43
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,نارمک,85,17,17,1000000000.0,,,1000,15000000.0,,,15,False,,False,,,44
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,نارمک,90,11,11,1500000000.0,,,1500,27000000.0,,,27,False,,False,,,45
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,مجیدیه,83,90,90,700000000.0,,,700,25000000.0,,,25,False,,False,source_anomaly,implausible_building_age:90,46
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,مجیدیه,72,22,22,850000000.0,,,850,12000000.0,,,12,False,,False,,,47
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,مدائن,100,15,15,1000000000.0,,,1000,55000000.0,,,55,False,,False,,,48
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,مدائن,82,19,19,1500000000.0,,,1500,15000000.0,,,15,False,,False,,,49
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,فدک,86,25,25,1350000000.0,,,1350,,,,-,False,,False,,,50
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,کرمان,80,12,12,1000000000.0,,,1000,23000000.0,,,23,False,,False,,,51
2,"Rental Prices in Districts 8, 13, 14 (Medium Size, 10-25 Years Old)",,image_transcription,User Image (Turn 3),C,unverified_transcription,,,missing,neighbourhood,8,8,لشکر,80,11,11,1000000000.0,,,1000,35000000.0,,,35,False,,False,,,52
