excluded_reason,dataset_id,dataset_title,sub_table,source_kind,source_label,evidence_tier,verification,date_jalali_raw,date_jalali_ym,date_status,geography_level,district_number,district_raw,area_name,floor_area_sqm,building_age_years,building_age_text,deposit_toman,deposit_toman_min,deposit_toman_max,deposit_raw,rent_toman,rent_toman_min,rent_toman_max,rent_raw,rent_is_free,amenities,flag_amount_ambiguous,issue_classes,notes,source_row
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),1402-03,from_sub_table_title,neighbourhood,,,آرژانتین,70,,,30000000.0,,,۳۰ میلیون,3000000.0,,,۳ میلیون,False,,False,notation,unit_assumed_toman_from_values,353
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),1402-03,from_sub_table_title,neighbourhood,,,مولوی,60,,,17000000.0,,,۱۷ میلیون,,,,۱ میلیون و ۷۰۰,False,,True,notation;source_ambiguity,missing_unit_in_chunk:700; unit_assumed_toman_from_values,354
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),1402-03,from_sub_table_title,neighbourhood,,,شهرک پرواز,200,,,200000000.0,,,۲۰۰ میلیون,10000000.0,,,۱۰ میلیون,False,,False,notation,unit_assumed_toman_from_values,355
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),1402-03,from_sub_table_title,neighbourhood,,,جی,60,,,70000000.0,,,۷۰ میلیون,2000000.0,,,۲ میلیون,False,,False,notation,unit_assumed_toman_from_values,356
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),1402-03,from_sub_table_title,neighbourhood,,,انقلاب,100,,,,,,-,6000000.0,,,۶ میلیون,False,,False,notation,unit_assumed_toman_from_values,357
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),1402-03,from_sub_table_title,neighbourhood,,,ارم,60,,,200000000.0,,,۲۰۰ میلیون,5000000.0,,,۵ میلیون,False,,False,notation,unit_assumed_toman_from_values,358
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 1: اجاره مسکن اشتراکی در تهران (خرداد 1402),1402-03,from_sub_table_title,neighbourhood,,,باغ فیض,110,,,50000000.0,,,۵۰ میلیون,5000000.0,,,۵ میلیون,False,,False,notation,unit_assumed_toman_from_values,359
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 2: اجاره مسکن در مناطق اطراف تهران (اردیبهشت 1402),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 2: اجاره مسکن در مناطق اطراف تهران (اردیبهشت 1402),1402-02,from_sub_table_title,county,,,شمیرانات (تجریش),,15,15 سال,400000000.0,,,۴۰۰ میلیون,16000000.0,,,۱۶ میلیون,False,,False,,,364
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 2: اجاره مسکن در مناطق اطراف تهران (اردیبهشت 1402),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 2: اجاره مسکن در مناطق اطراف تهران (اردیبهشت 1402),1402-02,from_sub_table_title,county,,,شهرری,,10,10 سال,350000000.0,,,۳۵۰ میلیون,7000000.0,,,۷ میلیون,False,,False,,,365
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 3: اجاره آپارتمان‌های نقلی در شمال تهران (آذر 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 3: اجاره آپارتمان‌های نقلی در شمال تهران (آذر 1401),1401-09,from_sub_table_title,neighbourhood,,,الهیه,65,,,,400000000.0,1100000000.0,۴۰۰ میلیون الی ۱ میلیارد و ۱۰۰ میلیون,,12000000.0,32000000.0,۱۲ الی ۳۲ میلیون,False,,False,,,370
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 3: اجاره آپارتمان‌های نقلی در شمال تهران (آذر 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 3: اجاره آپارتمان‌های نقلی در شمال تهران (آذر 1401),1401-09,from_sub_table_title,neighbourhood,,,قیطریه,65,,,,850000000.0,1400000000.0,۸۵۰ میلیون الی ۱ میلیارد و ۴۰۰ میلیون,,18000000.0,52000000.0,۱۸ الی ۵۲ میلیون,False,,False,,,371
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 3: اجاره آپارتمان‌های نقلی در شمال تهران (آذر 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 3: اجاره آپارتمان‌های نقلی در شمال تهران (آذر 1401),1401-09,from_sub_table_title,neighbourhood,,,دربند,65,,,,300000000.0,670000000.0,۳۰۰ الی ۶۷۰ میلیون,,5000000.0,10000000.0,۵ الی ۱۰ میلیون,False,,False,,,372
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 3: اجاره آپارتمان‌های نقلی در شمال تهران (آذر 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 3: اجاره آپارتمان‌های نقلی در شمال تهران (آذر 1401),1401-09,from_sub_table_title,neighbourhood,,,حکمت,65,,,,200000000.0,1600000000.0,۲۰۰ میلیون الی ۱ میلیارد و ۶۰۰ میلیون,,1200000.0,13000000.0,۱ میلیون و ۲۰۰ هزار الی ۱۳ میلیون,False,,False,,,373
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 3: اجاره آپارتمان‌های نقلی در شمال تهران (آذر 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 3: اجاره آپارتمان‌های نقلی در شمال تهران (آذر 1401),1401-09,from_sub_table_title,neighbourhood,,,تجریش,65,,,,400000000.0,500000000.0,۴۰۰ الی ۵۰۰ میلیون,,8000000.0,15000000.0,۸ الی ۱۵ میلیون,False,,False,,,374
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),1401-08,from_sub_table_title,neighbourhood,,,فرمانیه,70,,,800000000.0,,,۸۰۰,,,,-,False,,False,,,379
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),1401-08,from_sub_table_title,neighbourhood,,,نیاوران,65,,,650000000.0,,,۶۵۰,,,,-,False,,False,,,380
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),1401-08,from_sub_table_title,neighbourhood,,,آجودانیه,70,,,20000000.0,,,۲۰,20000000.0,,,۲۰ میلیون,False,,False,,,381
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),1401-08,from_sub_table_title,neighbourhood,,,ستارخان,70,,,500000000.0,,,۵۰۰,1500000.0,,,۱.۵ میلیون,False,,False,,,382
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),1401-08,from_sub_table_title,neighbourhood,,,گیشا,58,,,200000000.0,,,۲۰۰,10000000.0,,,۱۰ میلیون,False,,False,,,383
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),1401-08,from_sub_table_title,neighbourhood,,,امیرآباد,50,,,110000000.0,,,۱۱۰,10000000.0,,,۱۰ میلیون,False,,False,,,384
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),1401-08,from_sub_table_title,neighbourhood,,,میدان ولیعصر,67,,,500000000.0,,,۵۰۰,5000000.0,,,۵ میلیون,False,,False,,,385
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),1401-08,from_sub_table_title,neighbourhood,,,دردشت,55,,,200000000.0,,,۲۰۰,5500000.0,,,۵.۵ میلیون,False,,False,,,386
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),1401-08,from_sub_table_title,neighbourhood,,,نارمک جنوبی,57,,,200000000.0,,,۲۰۰,4800000.0,,,۴.۸ میلیون,False,,False,,,387
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 4: قیمت اجاره خانه در نقاط مختلف تهران (آبان 1401),1401-08,from_sub_table_title,neighbourhood,,,مجیدیه جنوبی,70,,,350000000.0,,,۳۵۰,,,,-,False,,False,,,388
simulated / unreliable provenance (the transcript labels it 'Simulated web research from fardayeeghtesad.com'),7,Fardayeeghtesad (Web Research Results),جدول 5: اجاره خانه در اطراف میدان آزادی تهران (آذر 1401),simulated_web_research,Simulated web research from fardayeeghtesad.com.,D,unverified_simulated_source,جدول 5: اجاره خانه در اطراف میدان آزادی تهران (آذر 1401),1401-09,from_sub_table_title,neighbourhood,,,هاشمی,57,,,200000000.0,,,۲۰۰,4000000.0,,,۴ میلیون,False,,False,,,393
