source_row_index,source_format,district_number,district_printed,district_correction,district_number_source,district_cross_check,district_marker_raw,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,deposit_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
1,markdown_table,5,5,,owner_geographic_verification,not_applicable_owner_assigned,**5**,جنت آباد جنوبی، اینارگران,,61,12000000.0,,,150000000.0,12 میلیون,150 میلیون,| **5** | جنت آباد جنوبی، اینارگران | 61 | 12 میلیون | 150 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_khordad-1402_tehran.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),owner-supplied header: source and publication date ۱۴۰۲/۰۳/۲۸,C,unverified_owner_transcription,۱۴۰۲/۰۳/۲۸ (۲۸ خرداد ۱۴۰۲),1402-03
2,markdown_table,6,6,,owner_geographic_verification,not_applicable_owner_assigned,**6**,بلوار کشاورز، کاکیان,,85,20000000.0,,,100000000.0,20 میلیون,100 میلیون,| **6** | بلوار کشاورز، کاکیان | 85 | 20 میلیون | 100 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_khordad-1402_tehran.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),owner-supplied header: source and publication date ۱۴۰۲/۰۳/۲۸,C,unverified_owner_transcription,۱۴۰۲/۰۳/۲۸ (۲۸ خرداد ۱۴۰۲),1402-03
3,markdown_table,2,2,,owner_geographic_verification,not_applicable_owner_assigned,**2**,شهرک غرب، بلوار فرحزادی,,128,40000000.0,,,300000000.0,40 میلیون,300 میلیون,| **2** | شهرک غرب، بلوار فرحزادی | 128 | 40 میلیون | 300 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_khordad-1402_tehran.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),owner-supplied header: source and publication date ۱۴۰۲/۰۳/۲۸,C,unverified_owner_transcription,۱۴۰۲/۰۳/۲۸ (۲۸ خرداد ۱۴۰۲),1402-03
4,markdown_table,2,2,,owner_geographic_verification,not_applicable_owner_assigned,**2**,گیشا، بالاتر از خیابان ۳۸,,85,,,,500000000.0,-,500 میلیون,| **2** | گیشا، بالاتر از خیابان ۳۸ | 85 | - | 500 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_khordad-1402_tehran.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),owner-supplied header: source and publication date ۱۴۰۲/۰۳/۲۸,C,unverified_owner_transcription,۱۴۰۲/۰۳/۲۸ (۲۸ خرداد ۱۴۰۲),1402-03
5,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن، بلوار کوهک,,110,,,,1000000000.0,-,یک میلیارد,| **22** | شهرک راه آهن، بلوار کوهک | 110 | - | یک میلیارد |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_khordad-1402_tehran.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),owner-supplied header: source and publication date ۱۴۰۲/۰۳/۲۸,C,unverified_owner_transcription,۱۴۰۲/۰۳/۲۸ (۲۸ خرداد ۱۴۰۲),1402-03
6,markdown_table,5,5,,owner_geographic_verification,not_applicable_owner_assigned,**5**,پونک، بلوار کمالی,,80,8000000.0,,,95000000.0,8 میلیون,95 میلیون,| **5** | پونک، بلوار کمالی | 80 | 8 میلیون | 95 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_khordad-1402_tehran.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),owner-supplied header: source and publication date ۱۴۰۲/۰۳/۲۸,C,unverified_owner_transcription,۱۴۰۲/۰۳/۲۸ (۲۸ خرداد ۱۴۰۲),1402-03
7,markdown_table,6,6,,owner_geographic_verification,not_applicable_owner_assigned,**6**,آرژانتین، بلوار بیهقی,,80,15000000.0,,,250000000.0,15 میلیون,250 میلیون,| **6** | آرژانتین، بلوار بیهقی | 80 | 15 میلیون | 250 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_khordad-1402_tehran.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),owner-supplied header: source and publication date ۱۴۰۲/۰۳/۲۸,C,unverified_owner_transcription,۱۴۰۲/۰۳/۲۸ (۲۸ خرداد ۱۴۰۲),1402-03
8,markdown_table,7,7,,owner_geographic_verification,not_applicable_owner_assigned,**7**,خواجه نصیر، خیابان سپاه,,78,,,,650000000.0,-,650 میلیون,| **7** | خواجه نصیر، خیابان سپاه | 78 | - | 650 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_khordad-1402_tehran.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),owner-supplied header: source and publication date ۱۴۰۲/۰۳/۲۸,C,unverified_owner_transcription,۱۴۰۲/۰۳/۲۸ (۲۸ خرداد ۱۴۰۲),1402-03
9,markdown_table,5,5,,owner_geographic_verification,not_applicable_owner_assigned,**5**,بلوار فردوس شرق، خیابان رامین,,105,15000000.0,,,350000000.0,15 میلیون,350 میلیون,| **5** | بلوار فردوس شرق، خیابان رامین | 105 | 15 میلیون | 350 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_khordad-1402_tehran.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),owner-supplied header: source and publication date ۱۴۰۲/۰۳/۲۸,C,unverified_owner_transcription,۱۴۰۲/۰۳/۲۸ (۲۸ خرداد ۱۴۰۲),1402-03
10,markdown_table,5,5,,owner_geographic_verification,not_applicable_owner_assigned,**5**,بلوار فردوس شرق، وفا آذر جنوبی,,147,,,,1500000000.0,-,یک میلیارد و ۵۰۰ میلیون,| **5** | بلوار فردوس شرق، وفا آذر جنوبی | 147 | - | یک میلیارد و ۵۰۰ میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_khordad-1402_tehran.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),owner-supplied header: source and publication date ۱۴۰۲/۰۳/۲۸,C,unverified_owner_transcription,۱۴۰۲/۰۳/۲۸ (۲۸ خرداد ۱۴۰۲),1402-03
