source_row_index,source_format,district_number,district_printed,district_correction,district_number_source,district_cross_check,district_marker_raw,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,deposit_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
1,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,آبشار,,110,4000000.0,,,550000000.0,4 میلیون,550 میلیون,| **22** | آبشار | 110 | 4 میلیون | 550 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
2,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,بزرگراه خرازی,,110,,,,550000000.0,-,550 میلیون,| **22** | بزرگراه خرازی | 110 | - | 550 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
3,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,چیتگر,,200,,,,2200000000.0,-,دو میلیارد و ۲۰۰ میلیون,| **22** | چیتگر | 200 | - | دو میلیارد و ۲۰۰ میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
4,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,دهکده المپیک,,180,8000000.0,,,850000000.0,8 میلیون,850 میلیون,| **22** | دهکده المپیک | 180 | 8 میلیون | 850 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
5,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,دهکده المپیک,,125,,,,,-,یک میلیارد و ۱۲۰۰ میلیون,| **22** | دهکده المپیک | 125 | - | یک میلیارد و ۱۲۰۰ میلیون |,True,rent_not_listed_in_source;amount_ambiguous_doubled_digit,rent_not_listed_in_source:-;deposit_amount_ambiguous_doubled_digit:1200 میلیون,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
6,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,دهکده المپیک,,127,,,,850000000.0,-,850 میلیون,| **22** | دهکده المپیک | 127 | - | 850 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
7,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,دهکده المپیک,,70,,,,750000000.0,-,750 میلیون,| **22** | دهکده المپیک | 70 | - | 750 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
8,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,سرو آزاد,,110,4000000.0,,,550000000.0,4 میلیون,550 میلیون,| **22** | سرو آزاد | 110 | 4 میلیون | 550 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
9,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شفق جنوبی,,160,1000000.0,,,700000000.0,یک میلیون,700 میلیون,| **22** | شفق جنوبی | 160 | یک میلیون | 700 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
10,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک امید,,130,,,,920000000.0,-,920 میلیون,| **22** | شهرک امید | 130 | - | 920 میلیون |,False,rent_not_listed_in_source;deposit_only_listing,rent_not_listed_in_source:-,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
11,markdown_table,22,22,,owner_geographic_verification,not_applicable_owner_assigned,**22**,شهرک راه آهن - بلوار امیرکبیر,,180,10000000.0,,,800000000.0,10 میلیون,800 میلیون,| **22** | شهرک راه آهن - بلوار امیرکبیر | 180 | 10 میلیون | 800 میلیون |,False,,,data/raw/donya-e-eqtesad_rent-asking_shahrivar-1402_district-22_cleaned.md,خوان روزنامه دنیای اقتصاد (khan.donya-e-eqtesad.com),"owner-supplied header: source, news number 3997831, publication date ۸ شهریور ۱۴۰۲",C,unverified_owner_transcription,۱۴۰۲/۰۶/۸ (۸ شهریور ۱۴۰۲),1402-06
