source_row_index,source_format,district_number,district_printed,district_correction,district_number_source,district_cross_check,district_marker_raw,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
1,corrupt_paste,1,1,,marker,match,1,فرمانیه,6,130,50000000.0,,,1500000000,6130501500,۱فرمانیه6130501500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
2,corrupt_paste,1,1,,marker,unchecked,1,اراج - گلستان,8,120,60000000.0,,,1000000000,8120601000,۱اراج - گلستان8120601000,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
3,corrupt_paste,1,1,,marker,unchecked,1,سعادت آباد,6,105,50000000.0,,,1000000000,6105501000,۱سعادت آباد6105501000,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
4,corrupt_paste,2,1,corrected,owner_geographic_verification,match,1,گیشا,6,71,7000000.0,,,1000000000,67171000,۱گیشا67171000,False,notation,district_corrected_by_owner:1_to_2,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
5,corrupt_paste,1,2,corrected,owner_geographic_verification,match,2,تجریش - فخارسر,5,100,55000000.0,,,2000000000,5100552000,۲تجریش - فخارسر5100552000,False,notation,district_corrected_by_owner:2_to_1,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
6,corrupt_paste,1,2,corrected,owner_geographic_verification,match,2,زعفرانیه - سمین,5,90,45000000.0,,,1000000000,590451000,۲زعفرانیه - سمین590451000,False,notation,district_corrected_by_owner:2_to_1,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
7,corrupt_paste,1,2,corrected,owner_geographic_verification,match,2,ولنجک,7,140,60000000.0,,,1500000000,7140601500,۲ولنجک7140601500,False,notation,district_corrected_by_owner:2_to_1,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
8,corrupt_paste,2,2,,marker,unchecked,2,مرزداران - سپهر,9,90,46000000.0,,,1000000000,990461000,۲مرزداران - سپهر990461000,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
9,corrupt_paste,2,2,,marker,unchecked,2,تهران ویلا,8,89,18000000.0,,,1200000000,889181200,۲تهران ویلا889181200,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
10,corrupt_paste,2,2,,marker,match,2,دریا نو - مقهری,,,,,,,87831300,۲دریا نو - مقهری87831300,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
11,corrupt_paste,2,2,,marker,match,2,اختیاریه - عین آبادی,7,80,39000000.0,,,800000000,78039800,۲اختیاریه - عین آبادی78039800,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
12,corrupt_paste,3,3,,marker,match,3,دروس - یخچال,9,100,40000000.0,,,1000000000,9100401000,۳دروس - یخچال9100401000,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
13,corrupt_paste,3,3,,marker,match,3,جردن,9,105,40000000.0,,,1000000000,9105401000,۳جردن9105401000,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
14,corrupt_paste,3,3,,marker,match,3,ونک - شیخ بهایی,6,90,35000000.0,,,800000000,69035800,۳ونک - شیخ بهایی69035800,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
15,corrupt_paste,3,3,,marker,match,3,میرداماد - شاهدوست,9,101,40000000.0,,,800000000,910140800,۳میرداماد - شاهدوست910140800,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
16,corrupt_paste,3,3,,marker,unchecked,3,تهرانپارس شرقی - اسفندیاری,5,84,15000000.0,,,600000000,58415600,۳تهرانپارس شرقی - اسفندیاری58415600,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
17,corrupt_paste,4,4,,marker,match,4,علم و صنعت - فرجام,8,73,9000000.0,,,400000000,8739400,۴علم و صنعت - فرجام8739400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
18,corrupt_paste,4,4,,marker,match,4,حکیمیه - فجر,5,90,24000000.0,,,300000000,59024300,۴حکیمیه - فجر59024300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
19,corrupt_paste,4,4,,marker,unchecked,4,شمس آباد - کیانسی,8,80,7000000.0,,,400000000,8807400,۴شمس آباد - کیانسی8807400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
20,corrupt_paste,4,4,confirmed,owner_geographic_verification,conflict,4,هروی - پناهی نیا,9,90,28000000.0,,,1000000000,990281000,۴هروی - پناهی نیا990281000,False,notation;source_ambiguity,district_confirmed_by_owner_geographic_check; district_print_4_vs_sibling_5,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
21,corrupt_paste,5,4,corrected,owner_geographic_verification,match,4,پونک - کمالی,10,90,25000000.0,,,800000000,109025800,۴پونک - کمالی109025800,False,notation,district_corrected_by_owner:4_to_5,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
22,corrupt_paste,5,5,,marker,match,5,فردوس شرق,9,70,25000000.0,,,400000000,97025400,۵فردوس شرق97025400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
23,corrupt_paste,5,5,,marker,unchecked,5,جنت آباد مرکزی,6,88,30000000.0,,,500000000,68830500,۵جنت آباد مرکزی68830500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
24,corrupt_paste,5,5,,marker,unchecked,5,شهران شمالی,9,90,15000000.0,,,800000000,99015800,۵شهران شمالی99015800,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
25,corrupt_paste,5,5,,marker,unchecked,5,آبشار - حاجی زاده,,,,,,,77711900,۵آبشار - حاجی زاده77711900,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
26,corrupt_paste,5,5,,marker,unchecked,5,یوسف آباد - اسدآبادی,5,85,45000000.0,,,500000000,58545500,۵یوسف آباد - اسدآبادی58545500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
27,corrupt_paste,6,6,,marker,match,6,امیرآباد - دیبستان,6,100,23000000.0,,,1200000000,6100231200,۶امیرآباد - دیبستان6100231200,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
28,corrupt_paste,6,6,,marker,unchecked,6,کشاورز - دائمی,6,85,35000000.0,,,500000000,68535500,۶کشاورز - دائمی68535500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
29,corrupt_paste,6,6,,marker,unchecked,6,سنایی - نظری,,,,,,,98322700,۶سنایی - نظری98322700,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
30,corrupt_paste,6,6,,marker,unchecked,6,ایرانشهر - رامسر,9,90,25000000.0,,,800000000,99025800,۶ایرانشهر - رامسر99025800,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
31,corrupt_paste,6,7,corrected,owner_geographic_verification,match,7,شهرداری شمالی - موزه,10,80,20000000.0,,,800000000,108020800,۷شهرداری شمالی - موزه108020800,False,notation,district_corrected_by_owner:7_to_6,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
32,corrupt_paste,7,7,,marker,match,7,بهار - هفت تیر,10,85,35000000.0,,,300000000,108535300,۷بهار - هفت تیر108535300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
33,corrupt_paste,7,7,,marker,match,7,خواجه نظام الملک,6,76,30000000.0,,,500000000,67630500,۷خواجه نظام الملک67630500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
34,corrupt_paste,7,7,,marker,match,7,ارامنه - سلطانی,6,85,23000000.0,,,400000000,68523400,۷ارامنه - سلطانی68523400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
35,corrupt_paste,7,7,,marker,match,7,پلیس - ادبی,8,75,14000000.0,,,300000000,87514300,۷پلیس - ادبی87514300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
36,corrupt_paste,8,8,,marker,match,8,هفت حوض - پنجاه و چهارم,8,83,15000000.0,,,1000000000,883151000,۸هفت حوض - پنجاه و چهارم883151000,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
37,corrupt_paste,8,8,,marker,match,8,درشت - حمزه لویی,7,90,25000000.0,,,500000000,79025500,۸درشت - حمزه لویی79025500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
38,corrupt_paste,8,8,,marker,match,8,سبلان - جعفری,10,70,15000000.0,,,400000000,107015400,۸سبلان - جعفری107015400,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
39,corrupt_paste,8,8,,marker,unchecked,8,تسلیحات - واضحانی,7,70,13000000.0,,,500000000,77013500,۸تسلیحات - واضحانی77013500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
40,corrupt_paste,8,8,,marker,unchecked,8,کرمان شمالی,9,81,7000000.0,,,750000000,9817750,۸کرمان شمالی9817750,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
41,corrupt_paste,9,9,,marker,match,9,استاد معین - لعل آخر,8,81,10000000.0,,,100000000,88110100,۹استاد معین - لعل آخر88110100,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
42,corrupt_paste,9,9,,marker,unchecked,9,دکتر هوشیار - دارمیشکی,10,70,,6000000.0,15500000.0,500000000,10706 / 15.5500,۹دکتر هوشیار - دارمیشکی10706 / 15.5500,False,notation,rent_range_as_written,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
43,corrupt_paste,9,9,,marker,match,9,مهرآباد جنوبی - وصالی,8,83,15000000.0,,,300000000,88315300,۹مهرآباد جنوبی - وصالی88315300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
44,corrupt_paste,9,9,,marker,unchecked,9,جی - جرجانی,5,80,14000000.0,,,300000000,58014300,۹جی - جرجانی58014300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
45,corrupt_paste,9,9,,marker,match,9,دستغیب,9,85,10000000.0,,,500000000,98510500,۹دستغیب98510500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
46,corrupt_paste,10,10,,marker,match,10,بریانک,8,75,,5000000.0,10500000.0,500000000,8755 / 10.5500,۱۰بریانک8755 / 10.5500,False,notation,rent_range_as_written,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
47,corrupt_paste,10,10,,marker,match,10,جیحون - قصرالدشت,,,,,,,98511600,۱۰جیحون - قصرالدشت98511600,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
48,corrupt_paste,10,10,,marker,unchecked,10,زنجان - دارمیشکی,10,70,15000000.0,,,600000000,107015600,۱۰زنجان - دارمیشکی107015600,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
49,corrupt_paste,10,10,,marker,unchecked,10,هفت چنار - محبوب مجاز,9,70,15000000.0,,,500000000,97015500,۱۰هفت چنار - محبوب مجاز97015500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
50,corrupt_paste,11,11,,marker,unchecked,11,هاشمی - عبداللهی,8,80,,4000000.0,12500000.0,400000000,8804 / 12.5400,۱۱هاشمی - عبداللهی8804 / 12.5400,False,notation,rent_range_as_written,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
51,corrupt_paste,,,,unknown,unchecked,1*,امیریه - بشیری,,,,,,,89001300,۱*امیریه - بشیری89001300,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates; sibling_table_says:11,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
52,corrupt_paste,,,,unknown,unchecked,1*,گمرک - زرجانی,7,78,17000000.0,,,500000000,77817500,۱*گمرک - زرجانی77817500,False,source_ambiguity,district_marker_corrupt:1*; sibling_table_says:11,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
