source_row_index,district_number,district_marker_raw,district_number_source,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
1,1,1,sibling_table_name_match,فرمانیه,6,130,50000000.0,,,1500000000,6130501500,۱فرمانیه6130501500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
2,1,1,marker,اراج - گلستان,8,120,60000000.0,,,1000000000,8120601000,۱اراج - گلستان8120601000,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
3,1,1,marker,سعادت آباد,6,105,50000000.0,,,1000000000,6105501000,۱سعادت آباد6105501000,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
4,2,1,sibling_table_name_match,گیشا,6,71,7000000.0,,,1000000000,67171000,۱گیشا67171000,False,source_ambiguity,district_marker_disagrees_with_sibling_table:1_vs_2,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
5,1,2,sibling_table_name_match,تجریش - فخارسر,5,100,55000000.0,,,2000000000,5100552000,۲تجریش - فخارسر5100552000,False,source_ambiguity,district_marker_disagrees_with_sibling_table:2_vs_1,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
6,1,2,sibling_table_name_match,زعفرانیه - سمین,5,90,45000000.0,,,1000000000,590451000,۲زعفرانیه - سمین590451000,False,source_ambiguity,district_marker_disagrees_with_sibling_table:2_vs_1,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
7,1,2,sibling_table_name_match,ولنجک,7,140,60000000.0,,,1500000000,7140601500,۲ولنجک7140601500,False,source_ambiguity,district_marker_disagrees_with_sibling_table:2_vs_1,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
8,2,2,marker,مرزداران - سپهر,9,90,46000000.0,,,1000000000,990461000,۲مرزداران - سپهر990461000,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
9,2,2,marker,تهران ویلا,8,89,18000000.0,,,1200000000,889181200,۲تهران ویلا889181200,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
10,2,2,sibling_table_name_match,دریا نو - مقهری,,,,,,,87831300,۲دریا نو - مقهری87831300,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
