district_number,area_name_fa,sale_level_1405_toman_per_sqm,sale_1401_toman_per_sqm,sale_1402_toman_per_sqm,sale_1403_toman_per_sqm,sale_1404_toman_per_sqm,sale_cumulative_1401_1405_pct,sale_p25_1405_toman_per_sqm,sale_p75_1405_toman_per_sqm,rent_snapshot_1404_08_listings,rent_snapshot_1404_08_monthly_toman,rent_snapshot_1404_08_per_sqm_toman,rent_snapshot_1404_08_deposit_toman,rent_snapshot_1404_08_median_area_sqm,rent_snapshot_1404_04_listings,rent_snapshot_1404_04_monthly_toman,rent_snapshot_1404_04_per_sqm_toman,rent_snapshot_1404_04_deposit_toman,rent_snapshot_1404_04_median_area_sqm,rent_change_1404_08_vs_1404_04_pct,gross_yield_1404_08_pct,gross_yield_1404_04_pct,deposit_to_value_1404_08_pct,rent_side_rows_conflicting_district
1,منطقه 1,291379310.345,69803921.57,96337209.3,180189873.42000002,206499999.745,317.4254164972698,233731060.60500002,359649122.81,5,60000000.0,480000.0,1000000000.0,130.0,6,52500000.0,488095.2380952381,1250000000.0,112.5,-1.6585365853658551,1.9768047337266406,2.0101437024502053,2.6399635867075864,0
2,منطقه 2,187767379.68,47683535.285,75000000.0,123544375.35,135683350.35000002,293.7782267143828,142533333.33499998,245714285.715,6,30500000.0,355686.274509804,675000000.0,87.5,5,18000000.0,202247.19101123596,1000000000.0,80.0,75.86710239651417,2.273150587387293,1.292538829838791,4.108426994844728,0
3,منطقه 3,235734668.82,64714260.44,91346749.225,138278388.28,159806150.82999998,264.2700499352257,191785714.285,291304347.825,4,59000000.0,488394.38548442314,1000000000.0,121.0,5,40000000.0,388888.8888888889,800000000.0,100.0,25.587127695994518,2.4861564296629446,1.9796267939825154,3.50583257493952,0
4,منطقه 4,148687782.805,33166666.665,75445205.47999999,100000000.0,105370543.31,348.3048728014224,108555555.555,200822368.42000002,4,18000000.0,234444.44444444444,700000000.0,76.5,4,16500000.0,194977.1689497717,400000000.0,85.0,20.241998438719744,1.8921079326490082,1.5735832381506072,6.15405423684744,1
5,منطقه 5,149766791.04500002,39087121.21,69932795.695,94852941.17500001,104889704.28,283.16147725579714,117456117.875,180110569.95999998,7,25000000.0,311111.1111111111,800000000.0,88.0,6,25000000.0,309343.4343434343,650000000.0,86.5,0.5714285714286005,2.492764455513765,2.4786010211074365,6.070043316997806,0
6,منطقه 6,190567765.565,46091611.480000004,70321100.91499999,115500000.0,119279967.285,313.4543346302632,147690071.005,240842261.90499997,5,25000000.0,277777.77777777775,800000000.0,90.0,5,23000000.0,265060.2409638554,800000000.0,85.0,4.797979797979801,1.7491590581705068,1.6690770771940255,4.664424155121352,0
7,منطقه 7,117726805.60499999,26428571.43,54607046.075,84574402.94,89951701.475,345.45277794078635,91597326.65,166087601.235,4,26500000.0,331089.35128518974,350000000.0,80.5,4,26500000.0,332662.53869969037,350000000.0,80.5,-0.4729078965879041,3.3748237667747745,3.390859408680619,3.6931487817179547,0
8,منطقه 8,112591836.735,29793233.08,58906250.0,79915966.38499999,88432432.85,277.9107706527566,91634382.57,139809738.135,5,15000000.0,185714.2857142857,500000000.0,80.0,5,15000000.0,185714.2857142857,500000000.0,81.0,0.0,1.9793365959706926,1.9793365959706926,5.551024107289602,0
9,منطقه 9,94321344.87,23100961.54,45793699.19,64202586.205,72475962.34,308.30051470662727,76580166.82,112647058.825,4,14500000.0,177861.4457831325,400000000.0,82.0,4,12000000.0,149228.3950617284,300000000.0,82.0,19.187401103898516,2.262836002115191,1.8985530191589821,5.171733701646279,0
10,منطقه 10,83636363.63499999,23113953.490000002,41863636.364999995,57650375.94,64322845.415,261.84360962387655,70764406.36000001,100266798.42,3,15000000.0,214285.7142857143,600000000.0,70.0,3,15000000.0,214285.7142857143,600000000.0,70.0,0.0,3.0745341615408117,3.0745341615408117,10.24844720513604,0
11,منطقه 11,78859308.67,24331643.915,39065906.425,59166666.665,64585650.72,224.10185249088218,64087301.585,102000000.0,4,10000000.0,129807.6923076923,575000000.0,76.5,4,10000000.0,129807.6923076923,575000000.0,76.5,0.0,1.9752801970541387,1.9752801970541387,9.531328635829702,0
12,منطقه 12,73934162.99000001,22111111.11,35500000.0,52589285.715,55555555.56,234.37561152936567,54877819.55,113722529.28,4,13500000.0,171153.84615384616,400000000.0,79.0,4,13500000.0,171153.84615384616,400000000.0,79.0,0.0,2.777939278387378,2.777939278387378,6.848378252318002,0
13,منطقه 13,106212121.21000001,27284482.759999998,39574987.555,70211267.60499999,78416897.965,289.27665275630835,85166666.66499999,132722739.9,5,13000000.0,171052.63157894736,800000000.0,85.0,4,12500000.0,159663.8655462185,750000000.0,85.0,7.1329639889196494,1.9325775208734934,1.8039055850945864,8.861290593447091,0
14,منطقه 14,90372480.62,23185963.2,40991071.43,60208333.335,69848484.85,289.77238012695545,73492909.68,113771393.82499999,6,12000000.0,133333.33333333334,525000000.0,78.5,7,12000000.0,133333.33333333334,550000000.0,76.0,0.0,1.770450461272289,1.770450461272289,7.400370160572864,0
15,منطقه 15,67895299.145,18161787.965,35178049.425,48051459.535,55430556.08,273.8359861696579,54381720.43,87647058.825,4,9000000.0,120000.0,300000000.0,75.0,4,9000000.0,120000.0,300000000.0,75.0,0.0,2.1209126672005327,2.1209126672005327,5.891424075557036,0
16,منطقه 16,70238095.235,19840291.75,35921052.629999995,52833333.335,60155122.655,254.01745155788848,58529282.67,85021801.275,5,8000000.0,106666.66666666667,500000000.0,80.0,5,8000000.0,106666.66666666667,500000000.0,80.0,0.0,1.82237288143624,1.82237288143624,8.89830508513789,0
17,منطقه 17,66147540.985,18011363.64,32571428.57,48230769.230000004,52215836.769999996,267.2544861517215,57706552.705,76614082.88,5,9000000.0,112500.0,350000000.0,75.0,5,9000000.0,112500.0,350000000.0,75.0,0.0,2.0408921932655573,2.0408921932655573,7.054935976720446,0
18,منطقه 18,64549961.865,17250000.0,41643442.625,50000000.0,52000000.0,274.20267747826085,53776106.935,78059701.495,5,12000000.0,150000.0,300000000.0,75.0,5,12000000.0,150000.0,300000000.0,75.0,0.0,2.7885376660090455,2.7885376660090455,6.19675036890899,0
19,منطقه 19,72917068.465,19045988.259999998,30192307.689999998,50881701.635000005,60726030.555,282.84738743716946,52141173.39,95708128.08,4,11000000.0,126143.79084967321,300000000.0,90.0,5,10000000.0,111111.11111111111,300000000.0,90.0,13.529411764705902,2.075954947259931,1.8285613525087472,4.571403381271868,0
20,منطقه 20,72827868.85,17500000.0,31981302.69,51192959.585,58959863.695,316.1592505714285,56593420.945,120528769.84,6,7000000.0,88963.96396396396,350000000.0,79.5,5,7000000.0,94594.5945945946,400000000.0,75.0,-5.952380952380953,1.4658778080769936,1.558654884537563,6.045097560575454,0
21,منطقه 21,74556197.47999999,25358312.86,32750000.0,52301587.3,64253600.105000004,194.01087482284493,44521962.235,103632911.39,4,11500000.0,128464.41947565544,450000000.0,89.5,4,11500000.0,128464.41947565544,450000000.0,89.5,0.0,2.0676658491353432,2.0676658491353432,6.74381624980622,0
22,منطقه 22,100004420.87,33184523.81,46323496.765,67739007.57499999,75565475.05,201.3586135590837,75000000.0,127406015.03999999,5,25000000.0,231481.4814814815,500000000.0,110.0,6,23000000.0,215740.74074074073,600000000.0,109.0,7.296137339055808,2.7776549812620077,2.588774442536191,4.5452536057014665,0
