district_number,area_name_fa,price_1401_toman,price_1402_toman,price_1403_toman,price_1404_toman,price_1405_toman,change_1402_vs_1401_pct,change_1403_vs_1402_pct,change_1404_vs_1403_pct,change_1405_vs_1404_pct,cumulative_1401_to_1405_pct,endpoint_1400_06_to_1405_05_pct,endpoint_minus_cumulative_pp,median_sample_size,modeled_months_total,confidence,notes
1,منطقه 1,69803921.57,96337209.3,180189873.42000002,206499999.745,291379310.345,38.011170623690795,87.04078593233655,14.601334595354531,41.10378242363906,317.4254164972698,648.6363636583375,331.2109471610677,17278.5,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
2,منطقه 2,47683535.285,75000000.0,123544375.35,135683350.35000002,187767379.68,57.286995504280604,64.72583379999999,9.825599073701596,38.38645581469458,293.7782267143828,593.8633484789115,300.08512176452865,19980.0,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
3,منطقه 3,64714260.44,91346749.225,138278388.28,159806150.82999998,235734668.82,41.15397225267279,51.37745946426702,15.568421658494014,47.512888331045474,264.2700499352257,556.5656565666667,292.295606631441,12057.5,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
4,منطقه 4,33166666.665,75445205.47999999,100000000.0,105370543.31,148687782.805,127.47298135816445,32.54652746158841,5.370543309999998,41.109439255296174,348.3048728014224,707.6923077544379,359.38743495301554,18733.0,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
5,منطقه 5,39087121.21,69932795.695,94852941.17500001,104889704.28,149766791.04500002,78.91518620488344,35.63441906238813,10.581393661249304,42.78502553997288,283.16147725579714,613.531914893617,330.37043763781986,35361.0,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
6,منطقه 6,46091611.480000004,70321100.91499999,115500000.0,119279967.285,190567765.565,52.568110892615685,64.24657534814422,3.2726989480519553,59.76510549308707,313.4543346302632,625.8064515379813,312.3521169077181,6706.0,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
7,منطقه 7,26428571.43,54607046.075,84574402.94,89951701.475,117726805.60499999,106.62125540775023,54.87818700876321,6.358068574028053,30.877797389657434,345.45277794078635,698.2795697416316,352.8267918008452,8183.0,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
8,منطقه 8,29793233.08,58906250.0,79915966.38499999,88432432.85,112591836.735,97.71687698957177,35.66636203289124,10.65677717512845,27.31961917860999,277.9107706527566,595.6632652468624,317.75249459410577,7168.5,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
9,منطقه 9,23100961.54,45793699.19,64202586.205,72475962.34,94321344.87,98.23287056994079,40.19960680315593,12.886359606422971,30.14155566161194,308.30051470662727,641.0714285399235,332.7709138332963,5504.0,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
10,منطقه 10,23113953.490000002,41863636.364999995,57650375.94,64322845.415,83636363.63499999,81.11845895645604,37.70990994991175,11.574025955952848,30.02590773992113,261.84360962387655,590.8339132154513,328.99030359157473,17224.5,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
11,منطقه 11,24331643.915,39065906.425,59166666.665,64585650.72,78859308.67,60.555968028599175,51.45345924224258,9.158846290398849,22.100354786051458,224.10185249088218,485.9848484888889,261.88299599800666,7127.5,0,CALCULATED from OBSERVED Kilid listing prices (nominal toman),
