district_number,area_name_fa,year_window,window_start,window_end,months_present,price_psm_median_toman,price_psm_p25_toman,price_psm_p75_toman,price_total_median_toman,sample_size_median,sample_size_min,trust_direct_months,trust_modeled_months,confidence,notes
1,منطقه 1,1401 (1400-06..1401-05),1400-06,1401-05,12,69803921.57,49780215.58,98336905.875,7735000000.0,1058.0,769,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
1,منطقه 1,1402 (1401-06..1402-05),1401-06,1402-05,12,96337209.3,53500000.0,128710693.88499999,13000000000.0,23269.0,3603,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
1,منطقه 1,1403 (1402-06..1403-05),1402-06,1403-05,12,180189873.42000002,146457776.095,233737417.73000002,29000000000.0,23388.0,14616,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
1,منطقه 1,1404 (1403-06..1404-05),1403-06,1404-05,12,206499999.745,166176472.845,260303034.925,32999999488.0,17293.0,11697,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
1,منطقه 1,1405 (1404-06..1405-05),1404-06,1405-05,12,291379310.345,233731060.60500002,359649122.81,49900000000.0,21680.5,14173,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
2,منطقه 2,1401 (1400-06..1401-05),1400-06,1401-05,12,47683535.285,35682386.285,65609721.16,4500000000.0,1762.0,1065,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
2,منطقه 2,1402 (1401-06..1402-05),1401-06,1402-05,12,75000000.0,56538461.54,95634004.89,7650000000.0,12589.0,2525,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
2,منطقه 2,1403 (1402-06..1403-05),1402-06,1403-05,12,123544375.35,98605769.22999999,156360317.45999998,12250000000.0,22461.0,14333,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
2,منطقه 2,1404 (1403-06..1404-05),1403-06,1404-05,12,135683350.35000002,107123624.28999999,172383007.885,13099999744.0,22137.0,15757,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
2,منطقه 2,1405 (1404-06..1405-05),1404-06,1405-05,12,187767379.68,142533333.33499998,245714285.715,19300000000.0,33222.0,19055,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
3,منطقه 3,1401 (1400-06..1401-05),1400-06,1401-05,12,64714260.44,51605552.754999995,80441176.47,6765000000.0,648.0,514,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
3,منطقه 3,1402 (1401-06..1402-05),1401-06,1402-05,12,91346749.225,75337837.84,115178571.43,11950000000.0,7809.5,1443,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
3,منطقه 3,1403 (1402-06..1403-05),1402-06,1403-05,12,138278388.28,119390109.89,166856280.975,17062500000.0,14508.0,9677,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
3,منطقه 3,1404 (1403-06..1404-05),1403-06,1404-05,12,159806150.82999998,133287075.7,194606675.695,19699999744.0,12357.5,11042,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
3,منطقه 3,1405 (1404-06..1405-05),1404-06,1405-05,12,235734668.82,191785714.285,291304347.825,31250000000.0,18361.0,12101,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
4,منطقه 4,1401 (1400-06..1401-05),1400-06,1401-05,12,33166666.665,26486641.325000003,44575850.019999996,2500000000.0,3373.5,2314,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
4,منطقه 4,1402 (1401-06..1402-05),1401-06,1402-05,12,75445205.47999999,52327708.04,93672219.5,8250000000.0,8880.0,1382,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
4,منطقه 4,1403 (1402-06..1403-05),1402-06,1403-05,12,100000000.0,74486301.37,127333333.33500001,9110000000.0,18173.5,14883,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
4,منطقه 4,1404 (1403-06..1404-05),1403-06,1404-05,12,105370543.31,78861716.0,131964288.0,9249999872.0,22036.5,16983,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
4,منطقه 4,1405 (1404-06..1405-05),1404-06,1405-05,12,148687782.805,108555555.555,200822368.42000002,14500000000.0,31231.0,19066,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
5,منطقه 5,1401 (1400-06..1401-05),1400-06,1401-05,12,39087121.21,28285714.285,48438178.78,2975000000.0,2566.0,1952,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
5,منطقه 5,1402 (1401-06..1402-05),1401-06,1402-05,12,69932795.695,61165768.614999995,79520676.69,6100000000.0,16336.0,2381,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
5,منطقه 5,1403 (1402-06..1403-05),1402-06,1403-05,12,94852941.17500001,83202027.74000001,107864010.99000001,7700000000.0,37088.0,26818,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
5,منطقه 5,1404 (1403-06..1404-05),1403-06,1404-05,12,104889704.28,87091091.46000001,121130956.19,8275000064.0,37656.5,29935,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
5,منطقه 5,1405 (1404-06..1405-05),1404-06,1405-05,12,149766791.04500002,117456117.875,180110569.95999998,12475000000.0,73437.5,44210,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
6,منطقه 6,1401 (1400-06..1401-05),1400-06,1401-05,12,46091611.480000004,35594383.81,63068181.82,4637500000.0,811.5,585,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
6,منطقه 6,1402 (1401-06..1402-05),1401-06,1402-05,12,70321100.91499999,51985009.81,92449799.195,7900000000.0,2832.0,527,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
6,منطقه 6,1403 (1402-06..1403-05),1402-06,1403-05,12,115500000.0,93299931.57499999,138628274.615,12500000000.0,6969.0,5268,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
6,منطقه 6,1404 (1403-06..1404-05),1403-06,1404-05,12,119279967.285,89961451.025,150208673.39,12499999744.0,7156.0,5618,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
6,منطقه 6,1405 (1404-06..1405-05),1404-06,1405-05,12,190567765.565,147690071.005,240842261.90499997,21775000000.0,10826.0,6672,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
7,منطقه 7,1401 (1400-06..1401-05),1400-06,1401-05,12,26428571.43,21822344.325000003,37222797.885000005,1812000000.0,1482.0,1040,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
7,منطقه 7,1402 (1401-06..1402-05),1401-06,1402-05,12,54607046.075,44260838.66500001,71127844.715,4500000000.0,3268.0,454,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
