region,q,jalali_year,season,season_label,rent_toman_m2,rent_rial_m2
1,1,1388,0,بهار,10324.9,103249.0
1,2,1388,1,تابستان,10754.3,107543.0
1,3,1388,2,پاییز,9778.2,97782.0
1,4,1388,3,زمستان,10557.8,105578.0
1,5,1389,0,بهار,11670.0,116700.0
1,6,1389,1,تابستان,12970.4,129704.0
1,7,1389,2,پاییز,13510.4,135104.0
1,8,1389,3,زمستان,14483.7,144837.0
1,9,1390,0,بهار,14295.3,142953.0
1,10,1390,1,تابستان,14760.9,147609.0
1,11,1390,2,پاییز,16091.0,160910.0
1,12,1390,3,زمستان,17848.3,178483.0
1,13,1391,0,بهار,19196.5,191965.0
1,14,1391,1,تابستان,21395.3,213953.0
1,15,1391,2,پاییز,22608.2,226082.0
1,16,1391,3,زمستان,24000.3,240003.0
1,17,1392,0,بهار,25918.8,259188.0
1,18,1392,1,تابستان,27452.3,274523.0
1,19,1392,2,پاییز,28240.7,282407.0
1,20,1392,3,زمستان,25341.2,253412.0
1,21,1393,0,بهار,27711.3,277113.0
1,22,1393,1,تابستان,30274.3,302743.0
1,23,1393,2,پاییز,31851.5,318515.0
1,24,1393,3,زمستان,30996.0,309960.0
1,25,1394,0,بهار,32440.7,324407.0
1,26,1394,1,تابستان,34100.8,341008.0
1,27,1394,2,پاییز,34768.7,347687.0
1,28,1394,3,زمستان,34354.2,343542.0
1,29,1395,0,بهار,35776.6,357766.0
1,30,1395,1,تابستان,38309.1,383091.0
1,31,1395,2,پاییز,38357.4,383574.0
1,32,1395,3,زمستان,38806.4,388064.0
1,33,1396,0,بهار,41083.2,410832.0
1,34,1396,1,تابستان,44017.6,440176.0
1,35,1396,2,پاییز,45172.9,451729.0
1,36,1396,3,زمستان,50769.8,507698.0
1,37,1397,0,بهار,53669.7,536697.0
1,38,1397,1,تابستان,59766.2,597662.0
1,39,1397,2,پاییز,60510.2,605102.0
1,40,1397,3,زمستان,63120.1,631201.0
1,41,1398,0,بهار,69521.8,695218.0
1,42,1398,1,تابستان,75735.6,757356.0
1,43,1398,2,پاییز,77014.2,770142.0
1,44,1398,3,زمستان,91767.5,917675.0
1,45,1399,0,بهار,97825.4,978254.0
1,46,1399,1,تابستان,115729.9,1157299.0
1,47,1399,2,پاییز,110081.0,1100810.0
1,48,1399,3,زمستان,114608.8,1146088.0
1,49,1400,0,بهار,148340.9,1483409.0
1,50,1400,1,تابستان,159570.3,1595703.0
2,1,1388,0,بهار,8863.8,88638.0
2,2,1388,1,تابستان,8677.1,86771.0
2,3,1388,2,پاییز,8676.0,86760.0
2,4,1388,3,زمستان,9248.7,92487.0
2,5,1389,0,بهار,9421.8,94218.0
2,6,1389,1,تابستان,10527.5,105275.0
2,7,1389,2,پاییز,11068.9,110689.0
2,8,1389,3,زمستان,11890.2,118902.0
2,9,1390,0,بهار,11743.6,117436.0
2,10,1390,1,تابستان,12817.8,128178.0
2,11,1390,2,پاییز,13913.4,139134.0
2,12,1390,3,زمستان,15329.2,153292.0
2,13,1391,0,بهار,16313.1,163131.0
2,14,1391,1,تابستان,18019.1,180191.0
2,15,1391,2,پاییز,19103.9,191039.0
2,16,1391,3,زمستان,19890.1,198901.0
2,17,1392,0,بهار,22076.4,220764.0
2,18,1392,1,تابستان,22979.2,229792.0
2,19,1392,2,پاییز,23586.5,235865.0
2,20,1392,3,زمستان,21567.9,215679.0
2,21,1393,0,بهار,23361.7,233617.0
