district_number,area_name_fa,area_id,native_key,level,sale_history,sale_history_periods,sale_history_first_period,sale_history_last_period,sale_history_latest_sample_size,sale_history_latest_trust,rent_current,rent_current_period,rent_current_metrics,rent_current_sample_size,rent_history,rent_history_note,supply,supply_points,supply_latest_period,floor_area,floor_area_period,floor_area_listing_n,forecast,forecast_after_period,forecast_horizon_months,notes
1,منطقه 1,e1dce90b-c860-17ed-d5a3-f537cc7bc1ce,272903:1,MUNICIPAL_AREA,yes,51,1400-06,1405-05,1642,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,1642,yes,1405-05,6,ASKING_RENT present but empty
2,منطقه 2,410657a3-ae51-c1fb-ec8b-19f7bc997aa1,272903:2,MUNICIPAL_AREA,yes,50,1400-07,1405-05,978,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,978,yes,1405-05,6,ASKING_RENT present but empty
3,منطقه 3,afdcb122-1f6d-aa97-14a7-08f471a9af72,272903:3,MUNICIPAL_AREA,yes,53,1400-06,1405-05,2280,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,2280,yes,1405-05,6,ASKING_RENT present but empty
4,منطقه 4,aec3f10b-5053-e6a9-f7d5-7e30577f4ca3,272903:4,MUNICIPAL_AREA,yes,53,1400-06,1405-05,3197,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,3197,yes,1405-05,6,ASKING_RENT present but empty
5,منطقه 5,161a0ad3-70be-d74e-5f66-83317bf881f0,272903:5,MUNICIPAL_AREA,yes,53,1400-06,1405-05,3415,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,3415,yes,1405-05,6,ASKING_RENT present but empty
6,منطقه 6,2b1f6ddd-fdb1-b3f0-870d-815af9ba66b2,272903:6,MUNICIPAL_AREA,yes,53,1400-06,1405-05,3201,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,3201,yes,1405-05,6,ASKING_RENT present but empty
7,منطقه 7,1ef0ae93-e7bb-f064-5e48-e0f61e55e841,272903:7,MUNICIPAL_AREA,yes,57,1400-06,1405-05,6232,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,6232,yes,1405-05,6,ASKING_RENT present but empty
8,منطقه 8,22e657d6-c8ce-4c4c-391c-6d9f729ab57f,272903:8,MUNICIPAL_AREA,yes,53,1400-06,1405-05,6727,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,6727,yes,1405-05,6,ASKING_RENT present but empty
9,منطقه 9,a6c208ce-1a7e-682f-fc3a-f81b8f800f17,272903:9,MUNICIPAL_AREA,yes,53,1400-06,1405-05,2266,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,2266,yes,1405-05,6,ASKING_RENT present but empty
10,منطقه 10,a28ec970-cfb3-c6db-c5db-3e2eaaba5083,272903:10,MUNICIPAL_AREA,yes,49,1400-06,1405-05,4587,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4587,yes,1405-05,6,ASKING_RENT present but empty
11,منطقه 11,1509955c-e657-a3a0-0028-4a66e86441b5,272903:11,MUNICIPAL_AREA,yes,43,1401-09,1405-05,359,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,359,yes,1405-05,6,ASKING_RENT present but empty
12,منطقه 12,f4cd0d06-ed3d-d7ba-33b2-45faa2684b47,272903:12,MUNICIPAL_AREA,yes,53,1400-06,1405-05,3536,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,3536,yes,1405-05,6,ASKING_RENT present but empty
13,منطقه 13,19f40bbb-a7c2-78b0-0880-3cd52094356a,272903:13,MUNICIPAL_AREA,yes,51,1400-06,1405-05,2427,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,2427,yes,1405-05,6,ASKING_RENT present but empty
14,منطقه 14,95e3ecd4-5c93-71a0-3779-f946ba217117,272903:14,MUNICIPAL_AREA,yes,50,1400-06,1405-05,1375,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,1375,yes,1405-05,6,ASKING_RENT present but empty
15,منطقه 15,ea4bce18-bc5d-933c-55e3-da2df6ee6e43,272903:15,MUNICIPAL_AREA,yes,47,1400-06,1405-05,1264,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,1264,yes,1405-05,6,ASKING_RENT present but empty
