district_number,area_name_fa,area_id,native_key,level,sale_history,sale_history_periods,sale_history_first_period,sale_history_last_period,sale_history_latest_sample_size,sale_history_latest_trust,rent_current,rent_current_period,rent_current_metrics,rent_current_sample_size,rent_history,rent_history_note,supply,supply_points,supply_latest_period,floor_area,floor_area_period,floor_area_listing_n,forecast,forecast_after_period,forecast_horizon_months,notes
1,منطقه 1,12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,MUNICIPAL_AREA,yes,60,1400-06,1405-05,4778,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4778,yes,1405-05,6,ASKING_RENT present but empty
2,منطقه 2,1abe4d30-f375-ebf3-54a3-9f6778a7ea0e,273014:2,MUNICIPAL_AREA,yes,44,1401-09,1405-05,2656,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,2656,yes,1405-05,6,ASKING_RENT present but empty
3,منطقه 3,4fe6f22d-a665-defe-e0d3-9fd1da6ca55a,273014:3,MUNICIPAL_AREA,yes,45,1401-09,1405-05,4,MODELED,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,11,1405-03,yes,1405-05,4,yes,1405-05,6,ASKING_RENT present but empty
4,منطقه 4,db67b348-0027-bdfd-4e6f-d02d8595a785,273014:4,MUNICIPAL_AREA,yes,44,1401-09,1405-05,5402,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,5402,yes,1405-05,6,ASKING_RENT present but empty
5,منطقه 5,05d7c556-45b0-6f2b-4eec-9a5c688806cc,273014:5,MUNICIPAL_AREA,yes,60,1400-06,1405-05,7240,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,7240,yes,1405-05,6,ASKING_RENT present but empty
6,منطقه 6,ba0a5036-8d85-26b9-9eee-bdf508317195,273014:6,MUNICIPAL_AREA,yes,59,1400-06,1405-05,8424,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,8424,yes,1405-05,6,ASKING_RENT present but empty
7,منطقه 7,03bfe41b-74e7-6d45-3451-ae3620f5a96f,273014:7,MUNICIPAL_AREA,yes,59,1400-06,1405-05,12275,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,12275,yes,1405-05,6,ASKING_RENT present but empty
8,منطقه 8,aec89fe6-3419-725b-bdd4-cfb164e0fde7,273014:8,MUNICIPAL_AREA,yes,59,1400-06,1405-05,3455,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,3455,yes,1405-05,6,ASKING_RENT present but empty
9,منطقه 9,06260d0d-25a3-bd66-7430-3ce76cff05a5,273014:9,MUNICIPAL_AREA,yes,44,1401-09,1405-05,2980,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,2980,yes,1405-05,6,ASKING_RENT present but empty
10,منطقه 10,9e5426b1-520b-2eed-ff42-41be702b4c36,273014:10,MUNICIPAL_AREA,yes,47,1401-05,1405-04,5,MODELED,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-02,yes,1405-04,5,yes,1405-05,6,ASKING_RENT present but empty
11,منطقه 11,b807b3d3-49ab-5f09-cf9a-3baf86a1af55,273014:11,MUNICIPAL_AREA,yes,44,1401-09,1405-05,706,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,706,yes,1405-05,6,ASKING_RENT present but empty
12,منطقه 12,f5065322-d58a-5d9f-22ee-8781ba0b22a8,273014:12,MUNICIPAL_AREA,yes,47,1400-06,1405-05,8684,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,8684,yes,1405-05,6,ASKING_RENT present but empty
