area_id,native_key,district_number,area_name_fa,level,date,period_code,period_id,label,price_psm_median_toman,price_psm_smoothed_toman,price_psm_p25_toman,price_psm_p75_toman,price_total_median_toman,sample_size,trust,source,metraj_band,window_months
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2021-08-23,1400-06,246,شهریور - 1400,22409090.91,14251312,16740878.21,28500000,1975000000,4,MODELED,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2021-09-23,1400-07,247,مهر - 1400,28000000,14850653.43,22409090.91,29000000,2100000000,3,MODELED,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2021-10-23,1400-08,248,آبان - 1400,24000000,17337120.66,17142857.14,28000000,1920000000,5,MODELED,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2021-11-22,1400-09,249,آذر - 1400,27000000,20058397.26,18557558.94,36184931.51,1988000000,8,MODELED,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2021-12-22,1400-10,250,دی - 1400,34246575.34,23575215.98,19029126.21,66666666.67,2016000000,9,MODELED,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-01-21,1400-11,251,بهمن - 1400,38631578.95,24754806.13,30818860.08,67857142.86,5375000000,8,MODELED,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-02-20,1400-12,252,اسفند - 1400,35263157.89,20756301.46,20535714.29,66666666.67,6700000000,5,MODELED,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-03-21,1401-01,253,فروردین - 1401,27899436.09,17179565.25,20316315.63,37697368.42,4500000000,4,MODELED,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-04-21,1401-02,254,اردیبهشت - 1401,32329059.83,16213625.85,25993589.75,38664529.92,4525000000,2,MODELED,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-05-22,1401-03,255,خرداد - 1401,27500000,15232451.57,18750000,36250000,3925000000,2,MODELED,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-06-22,1401-04,256,تیر - 1401,32286666.02,30459101.57,26067026.19,38980769.23,3710000000,72,DIRECT,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-07-23,1401-05,257,مرداد - 1401,32286666.02,31406363.18,24000000,37982758.62,3600000000,158,DIRECT,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-08-23,1401-06,258,شهریور - 1401,32369942.2,31778536.41,24528301.89,38000000,3700000000,233,DIRECT,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-09-23,1401-07,259,مهر - 1401,32388674.81,31557590.25,23780487.8,37792434.05,3700000000,162,DIRECT,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-10-23,1401-08,260,آبان - 1401,32686240.14,31047517.81,25981481.48,37853658.54,4050000000,76,DIRECT,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-11-22,1401-09,261,آذر - 1401,43636363.64,38475476.04,30568965.52,60500000,5500000000,31,DIRECT,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2022-12-22,1401-10,262,دی - 1401,40000000,37916643.18,26989726.03,53845811.05,4225000000,74,DIRECT,listing,metraj_all,3
12d3c362-a7df-8f1a-db63-50e148beda7c,273014:1,1,منطقه 1,MUNICIPAL_AREA,2023-01-21,1401-11,263,بهمن - 1401,42928571.43,42180472.39,31584884.99,57075892.86,4830000000,222,DIRECT,listing,metraj_all,3
