district_number,area_name_fa,area_id,native_key,level,sale_history,sale_history_periods,sale_history_first_period,sale_history_last_period,sale_history_latest_sample_size,sale_history_latest_trust,rent_current,rent_current_period,rent_current_metrics,rent_current_sample_size,rent_history,rent_history_note,supply,supply_points,supply_latest_period,floor_area,floor_area_period,floor_area_listing_n,forecast,forecast_after_period,forecast_horizon_months,notes
1,منطقه 1,de0ba416-7d2d-7b0d-ba34-4b1b4ba4f1d2,272895:1,MUNICIPAL_AREA,yes,53,1400-06,1405-05,7311,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,7311,yes,1405-05,6,ASKING_RENT present but empty
2,منطقه 2,ea068aac-1108-c5e2-0af9-70041a711c96,272895:2,MUNICIPAL_AREA,yes,53,1400-06,1405-05,15977,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,15977,yes,1405-05,6,ASKING_RENT present but empty
3,منطقه 3,445675b3-efeb-ea5f-419c-2163f867b44e,272895:3,MUNICIPAL_AREA,yes,50,1400-06,1405-05,4741,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4741,yes,1405-05,6,ASKING_RENT present but empty
4,منطقه 4,82ac794f-5ef1-844d-68b7-1da3bef9f99b,272895:4,MUNICIPAL_AREA,yes,51,1400-08,1405-05,3776,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,3776,yes,1405-05,6,ASKING_RENT present but empty
5,منطقه 5,15e82ef6-157a-ecc9-9e81-f64bf056b907,272895:5,MUNICIPAL_AREA,yes,53,1400-06,1405-05,1951,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,1951,yes,1405-05,6,ASKING_RENT present but empty
6,منطقه 6,f63168ea-9f0c-e853-e800-688831354dff,272895:6,MUNICIPAL_AREA,yes,53,1400-06,1405-05,4281,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4281,yes,1405-05,6,ASKING_RENT present but empty
7,منطقه 7,4f69b050-dcd4-20b6-0698-f620bd4fa2b7,272895:7,MUNICIPAL_AREA,yes,55,1400-11,1405-05,9104,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,9104,yes,1405-05,6,ASKING_RENT present but empty
8,منطقه 8,cb3aa3ec-e3db-49d3-f122-1894b87433e7,272895:8,MUNICIPAL_AREA,yes,51,1400-06,1405-05,6543,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,6543,yes,1405-05,6,ASKING_RENT present but empty
9,منطقه 9,3b1db13c-5375-2f43-d970-0655a2b5e18e,272895:9,MUNICIPAL_AREA,yes,59,1400-06,1405-05,18314,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,18314,yes,1405-05,6,ASKING_RENT present but empty
10,منطقه 10,5ca4809c-79f0-ec4a-4993-1d01fde9600d,272895:10,MUNICIPAL_AREA,yes,53,1400-06,1405-05,12707,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,12707,yes,1405-05,6,ASKING_RENT present but empty
11,منطقه 11,06c5bf0e-6ae9-d9bb-d2fe-0a13fb4e4cb7,272895:11,MUNICIPAL_AREA,yes,51,1400-06,1405-05,10592,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,10592,yes,1405-05,6,ASKING_RENT present but empty
12,منطقه 12,3c325875-9c64-1dbd-55e5-e8c2ae159a63,272895:12,MUNICIPAL_AREA,yes,49,1400-07,1405-05,28607,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,28607,yes,1405-05,6,ASKING_RENT present but empty
13,منطقه 13,09aef6ae-fe73-d123-0450-1047173a32dd,272895:13,MUNICIPAL_AREA,yes,47,1400-06,1405-05,1683,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,1683,yes,1405-05,6,ASKING_RENT present but empty
