area_id,native_key,district_number,area_name_fa,level,date,period_code,period_id,label,price_psm_median_toman,price_psm_smoothed_toman,price_psm_p25_toman,price_psm_p75_toman,price_total_median_toman,sample_size,trust,source,metraj_band,window_months
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2021-08-23,1400-06,246,شهریور - 1400,18202614.38,15545026.46,10803571.43,25664893.62,2125000000,16,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2021-09-23,1400-07,247,مهر - 1400,15833333.33,14483620.46,11632352.94,23828125,1615000000,18,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2021-10-23,1400-08,248,آبان - 1400,14981884.06,14307533.21,11375000,21578125,1500000000,18,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2021-11-22,1400-09,249,آذر - 1400,14347826.09,13956391.37,12617021.28,20987554.11,1500000000,19,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2021-12-22,1400-10,250,دی - 1400,15916666.67,14711472.76,11928910.29,21267045.45,1675000000,16,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2022-01-21,1400-11,251,بهمن - 1400,16000000,14513717.13,11623778.03,22073863.64,1850000000,11,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2022-02-20,1400-12,252,اسفند - 1400,23073770.49,15199720.36,12931818.18,52821935.2,3450000000,4,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2022-03-21,1401-01,253,فروردین - 1401,18235294.12,13813819.65,15000000,22916666.67,1550000000,5,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2022-04-21,1401-02,254,اردیبهشت - 1401,16617647.06,14741348.78,12500000,19405637.26,1375000000,4,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2022-05-22,1401-03,255,خرداد - 1401,18235294.12,18545390.94,11617647.06,20575980.4,1550000000,3,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2022-08-23,1401-06,258,شهریور - 1401,5800000,26854492.42,5800000,5800000,580000000,1,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2022-09-23,1401-07,259,مهر - 1401,15645098.04,26901496.08,10722549.02,20567647.06,3540000000,2,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2022-10-23,1401-08,260,آبان - 1401,15645098.04,28085930.86,10722549.02,20567647.06,3540000000,2,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2022-11-22,1401-09,261,آذر - 1401,14563106.8,35578728.75,10629921.26,20270270.27,1500000000,9,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2022-12-22,1401-10,262,دی - 1401,10699576.02,18499025.72,6187500,16456611.57,1300000000,42,DIRECT,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2023-01-21,1401-11,263,بهمن - 1401,10629921.26,14970074.23,5803571.43,14563106.8,1250000000,89,DIRECT,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2023-02-20,1401-12,264,اسفند - 1401,10000000,13758997.76,5633967.39,15277777.78,1175000000,106,DIRECT,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2023-03-21,1402-01,265,فروردین - 1402,10000000,15574637.75,5343750,15444444.45,1222500000,72,DIRECT,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2023-04-21,1402-02,266,اردیبهشت - 1402,10909090.91,22930029.04,4704545.46,20087719.3,1120000000,35,DIRECT,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2023-05-22,1402-03,267,خرداد - 1402,12954545.46,46733926.23,6687500,19473684.21,1175000000,10,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2023-06-22,1402-04,268,تیر - 1402,15000000,46144293.48,7125000,20458089.67,1200000000,11,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2023-07-23,1402-05,269,مرداد - 1402,26347305.39,44117924.94,26347305.39,26347305.39,4400000000,1,MODELED,listing,metraj_all,3
1893408d-ca96-979b-c24c-2915e158283a,242556:1,1,منطقه 1,MUNICIPAL_AREA,2023-08-23,1402-06,270,شهریور - 1402,26347305.39,43301278.41,26347305.39,26347305.39,4400000000,1,MODELED,listing,metraj_all,3
