district_number,area_name_fa,area_id,native_key,level,sale_history,sale_history_periods,sale_history_first_period,sale_history_last_period,sale_history_latest_sample_size,sale_history_latest_trust,rent_current,rent_current_period,rent_current_metrics,rent_current_sample_size,rent_history,rent_history_note,supply,supply_points,supply_latest_period,floor_area,floor_area_period,floor_area_listing_n,forecast,forecast_after_period,forecast_horizon_months,notes
1,منطقه 1,78a46ed6-4109-5285-6362-6dff361af0c0,272896:1,MUNICIPAL_AREA,yes,60,1400-06,1405-05,9157,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,9157,yes,1405-05,6,ASKING_RENT present but empty
2,منطقه 2,0905c12c-19e5-25a1-f4ef-b7bdf6ae5361,272896:2,MUNICIPAL_AREA,yes,56,1400-06,1405-05,4442,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4442,yes,1405-05,6,ASKING_RENT present but empty
3,منطقه 3,fab15df3-1406-a20b-55a6-2a2366095034,272896:3,MUNICIPAL_AREA,yes,51,1401-01,1405-05,1996,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,1996,yes,1405-05,6,ASKING_RENT present but empty
4,منطقه 4,a8f96ea2-d343-77b6-d068-576fc8e6a562,272896:4,MUNICIPAL_AREA,yes,58,1400-06,1405-05,8355,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,8355,yes,1405-05,6,ASKING_RENT present but empty
5,منطقه 5,aedd8b8b-d0a4-8ff9-07c9-2668d51c112e,272896:5,MUNICIPAL_AREA,yes,52,1400-07,1405-05,2453,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,2453,yes,1405-05,6,ASKING_RENT present but empty
6,منطقه 6,78b8f708-ef29-8205-f77a-1e76243fc72c,272896:6,MUNICIPAL_AREA,yes,57,1400-06,1405-05,10296,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,10296,yes,1405-05,6,ASKING_RENT present but empty
7,منطقه 7,e23f4698-e027-681f-989c-0526ac32a968,272896:7,MUNICIPAL_AREA,yes,57,1400-06,1405-05,2373,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,2373,yes,1405-05,6,ASKING_RENT present but empty
8,منطقه 8,12d36366-a798-320f-299b-b05b285b3cd5,272896:8,MUNICIPAL_AREA,yes,53,1400-06,1405-05,309,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,309,yes,1405-05,6,ASKING_RENT present but empty
9,منطقه 9,a939a0ee-0fc0-5598-8873-7b6e9d105317,272896:9,MUNICIPAL_AREA,yes,56,1400-06,1405-05,5383,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,5383,yes,1405-05,6,ASKING_RENT present but empty
10,منطقه 10,deb2ba03-c9df-18e4-a3b2-17afcacb4dea,272896:10,MUNICIPAL_AREA,yes,53,1400-06,1405-05,9611,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,9611,yes,1405-05,6,ASKING_RENT present but empty
11,منطقه 11,c9550dc4-fa84-aa1e-d974-b906a425603e,272896:11,MUNICIPAL_AREA,yes,57,1400-06,1405-05,2822,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,2822,yes,1405-05,6,ASKING_RENT present but empty
