district_number,area_name_fa,area_id,native_key,level,sale_history,sale_history_periods,sale_history_first_period,sale_history_last_period,sale_history_latest_sample_size,sale_history_latest_trust,rent_current,rent_current_period,rent_current_metrics,rent_current_sample_size,rent_history,rent_history_note,supply,supply_points,supply_latest_period,floor_area,floor_area_period,floor_area_listing_n,forecast,forecast_after_period,forecast_horizon_months,notes
1,منطقه 1,be3fbc54-8cd3-f58d-be15-6e14c29542f5,242459:1,MUNICIPAL_AREA,yes,41,1400-06,1405-05,4154,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4154,yes,1405-05,6,ASKING_RENT present but empty
2,منطقه 2,257a0bec-e1f0-b00c-c92b-6c4690b926fe,242459:2,MUNICIPAL_AREA,yes,37,1400-06,1405-05,4998,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4998,yes,1405-05,6,ASKING_RENT present but empty
3,منطقه 3,1c73b386-7f13-bb5f-81cd-0a9e7b67c4ff,242459:3,MUNICIPAL_AREA,yes,27,1400-06,1405-05,3828,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,3828,yes,1405-05,6,ASKING_RENT present but empty
4,منطقه 4,03d083af-55eb-1ae8-9ce5-a704933232c0,242459:4,MUNICIPAL_AREA,yes,48,1400-06,1405-05,4271,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4271,yes,1405-05,6,ASKING_RENT present but empty
5,منطقه 5,214cfbd7-44a4-f77d-74b5-55fb8bfa1b0b,242459:5,MUNICIPAL_AREA,yes,29,1400-06,1405-05,4849,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4849,yes,1405-05,6,ASKING_RENT present but empty
6,منطقه 6,e8dd59bb-ba2b-a7d0-7cb8-dcc5d1e5384b,242459:6,MUNICIPAL_AREA,yes,27,1400-06,1405-05,2216,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,2216,yes,1405-05,6,ASKING_RENT present but empty
7,منطقه 7,1e850eee-4864-afd8-14dc-0c9773624237,242459:7,MUNICIPAL_AREA,yes,24,1400-06,1405-05,4796,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4796,yes,1405-05,6,ASKING_RENT present but empty
8,منطقه 8,c4c5c315-c198-042e-77ae-03d71bea1b87,242459:8,MUNICIPAL_AREA,yes,31,1402-08,1405-05,1391,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,1391,yes,1405-05,6,ASKING_RENT present but empty
9,منطقه 9,9ecd9bf9-d489-1d21-a63c-82a771c85152,242459:9,MUNICIPAL_AREA,yes,20,1403-10,1405-05,1479,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,1479,yes,1405-05,6,ASKING_RENT present but empty
10,منطقه 10,2f86aa8b-cdb8-3dc3-2be2-dbf9d384aa6d,242459:10,MUNICIPAL_AREA,yes,33,1400-06,1405-05,1877,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,1877,yes,1405-05,6,ASKING_RENT present but empty
