district_number,area_name_fa,area_id,native_key,level,sale_history,sale_history_periods,sale_history_first_period,sale_history_last_period,sale_history_latest_sample_size,sale_history_latest_trust,rent_current,rent_current_period,rent_current_metrics,rent_current_sample_size,rent_history,rent_history_note,supply,supply_points,supply_latest_period,floor_area,floor_area_period,floor_area_listing_n,forecast,forecast_after_period,forecast_horizon_months,notes
1,منطقه 1,fb55f9d4-9edc-e75c-d6ed-cadc6a053d14,242382:1,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
2,منطقه 2,dedfdbde-6b7f-337f-7c10-b7c0e7e4475a,242382:2,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
3,منطقه 3,ad153c3b-636d-7f58-1c3e-fa81dd6d3558,242382:3,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
4,منطقه 4,07823aec-c395-924b-c345-b1a7a84c5cfe,242382:4,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
5,منطقه 5,ed6372eb-d151-9d20-46ca-81bf656e0243,242382:5,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
6,منطقه 6,b4a93332-afa0-a11d-faf9-8305ce5386dd,242382:6,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
7,منطقه 7,53b6d904-fee5-a91d-fb14-7ea61031bf22,242382:7,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
10,منطقه 10,c4ca7fba-9a25-5f58-84e8-0965aeaa2e21,242382:10,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
11,منطقه 11,cf9ad17c-6ed9-a7a6-e1c8-653769ae2ed5,242382:11,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
12,منطقه 12,eec5f644-8938-919e-e251-37bfc1fdf780,242382:12,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
14,منطقه 14,9955e549-37fa-cac0-2332-4fcd29b00b2f,242382:14,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
21,منطقه 21,1fb3e8b8-0d98-1ac4-32f9-997ab3e1fdfe,242382:21,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
22,منطقه 22,7d4d33fb-e1bb-afa1-336b-3cd93f858975,242382:22,MUNICIPAL_AREA,yes,11,1401-09,1404-04,368,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,5,1404-02,yes,1404-04,368,yes,1405-05,6,ASKING_RENT present but empty
