rank,city_id,native_key,name_fa,province_id,province_name_fa,have_region,census_rank_1395,population_1395,stockN,sampleSize,pricePsmMedian,trust,area_id
1,272905,272905,تهران,242305,تهران,True,1,8693706,4264326,420217,210000000,DIRECT,7a41f5f3-ce2e-ba00-d769-c35cfa000b6b
2,272895,272895,مشهد,242302,خراسان رضوی,True,2,3001184,6737,163116,97315436.24,DIRECT,e3e34856-2bd6-f03c-e964-529fe28b59b0
3,272903,272903,اصفهان,242293,اصفهان,True,3,1961260,1147429,59101,94370860.93,DIRECT,04a8411c-5b22-d1b9-b96c-2fb33499b37c
4,273014,273014,کرج,242307,البرز,True,4,1592492,453833,82795,95531914.89,DIRECT,0f2fbda8-4bd3-4335-eb9e-38e22a6dc0e6
5,272896,272896,شیراز,242297,فارس,True,5,1565572,872326,71832,116959742.35,DIRECT,a33be6e4-40fa-0727-156e-b06ca80064a3
6,242459,242459,تبریز,242308,آذربایجان شرقی,True,6,1558693,965322,54177,101980198.02,DIRECT,cccd6838-7604-187b-6561-9f27fdf860e2
7,242483,242483,قم,242306,قم,True,7,1201955,32901,132,81556372.55,DIRECT,baa44f3d-aa8e-0102-a0a4-965748ea5239
8,242398,242398,اهواز,242311,خوزستان,True,8,1184788,341499,342,80000000,DIRECT,d3ffe182-7c2b-581a-c600-946b47adc286
9,242666,242666,کرمانشاه,242287,کرمانشاه,True,9,946651,,,,SUPPRESSED,6990c493-f029-c4b6-7f53-34f64e58c839
10,242382,242382,ارومیه,242296,آذربایجان غربی,False,10,736224,,,,SUPPRESSED,6e0bc745-38e7-a396-2ac0-c47e0c862685
11,242556,242556,رشت,242290,گیلان,True,11,679995,412186,37771,74666666.67,DIRECT,ff6545c1-f01f-f721-2072-aafd24b8cdf9
12,242574,242574,زاهدان,242304,سیستان و بلوچستان,True,12,587730,,,,SUPPRESSED,4bcdbd80-0237-1d6a-5318-767de5915907
13,242740,242740,همدان,242288,همدان,True,13,554406,39091,215,100000000,DIRECT,9760d938-eef6-f688-604a-1ead9e599fc1
14,242665,242665,کرمان,242282,کرمان,False,14,537718,11302,265,78260869.57,DIRECT,b705ed9e-8648-97d2-40fc-eb18b3303ab4
15,242746,242746,یزد,242309,یزد,True,15,529673,3734,212,70532212.89,DIRECT,ce38b0b6-d44a-56e0-ab13-2319c9a44d09
16,242361,242361,اردبیل,242299,اردبیل,False,16,529374,,,,SUPPRESSED,1a914d65-66d0-6ef3-ab04-5250b1728c49
17,272999,272999,بندرعباس,,,,17,526648,,,,SUPPRESSED,4afa0807-cd11-8fde-9b6b-a5d3d6942481
18,242360,242360,اراک,242285,مرکزی,True,18,520944,24270,42,60811930.41,DIRECT,e080d852-e7ad-817c-51f1-eef586dee30a
19,242368,242368,اسلامشهر,242305,تهران,True,19,448129,,,,SUPPRESSED,d1b76ef8-1d51-6337-149c-dbc790369c1a
20,242566,242566,زنجان,242291,زنجان,True,20,430871,,,,SUPPRESSED,46a81576-42c8-2dc2-f5ea-2afb403a9a74
21,242477,242477,قزوین,242289,قزوین,True,,,45262,305,106666666.67,DIRECT,9afdf8de-de8f-28ec-84bb-8cae5002a73f
22,242580,242580,ساری,242300,مازندران‎,True,,,23834,1656,68480189.24,DIRECT,09497ec5-edbf-5336-5008-a6e09abb9513
23,242374,242374,آمل,242300,مازندران‎,True,,,15887,2495,67142857.14,DIRECT,35b87166-6cd5-6058-2f79-2a98c16ebc86
24,242404,242404,بابلسر,242300,مازندران‎,True,,,4928,1299,77894736.84,DIRECT,002ad10b-70a5-e709-a341-8ef9996a790b
25,242727,242727,نور,242300,مازندران‎,True,,,3719,530,35773809.52,DIRECT,ccd049a9-bcc4-2944-eb64-9149a515e7ae
26,272932,272932,پردیس,242305,تهران,True,,,2544,791,73333333.33,DIRECT,27ad5f99-1cf7-dd62-f34f-6e7b860ca682
27,242542,242542,رامسر,242300,مازندران‎,True,,,2235,331,108433734.94,DIRECT,562943f4-64e9-d4f4-18c3-559bb4e6a28e
28,272956,272956,چمستان,242300,مازندران‎,True,,,126,944,29019138.76,DIRECT,9e734d17-dd94-0263-e286-327263ce5cf5
29,242646,242646,فردیس,242307,البرز,True,,,,,,SUPPRESSED,63327528-d25b-a590-0813-ccb213843561
30,242713,242713,پاکدشت,242305,تهران,True,,,,,,SUPPRESSED,d1954e4a-3c38-1265-4a60-c91b782c0830
31,272947,272947,اندیشه,242305,تهران,True,,,,,,SUPPRESSED,ea9a06f6-f592-5fbd-d5a8-15717051f497
32,242767,242767,گرگان,242301,گلستان,False,,,,,,SUPPRESSED,894f7bd5-5b37-8f4c-acf4-dd24e68f6ca3
33,242609,242609,شهریار,242305,تهران,True,,,,,,SUPPRESSED,c061af98-baa6-ca11-950c-e55fcf255226
34,242403,242403,بابل,242300,مازندران‎,True,,,,,,SUPPRESSED,74fb03b8-ad59-6d72-c1c1-94e78ba31728
35,242509,242509,لاهیجان,242290,گیلان,True,,,,,,SUPPRESSED,96243e9b-9966-0ebd-c2c5-58471c9b0ad1
36,242469,242469,قائم شهر,242300,مازندران‎,True,,,,,,SUPPRESSED,6e1b57be-9c71-52e6-e7da-5cd2f72baba0
37,242695,242695,ملارد,242305,تهران,True,,,,,,SUPPRESSED,7eac1aec-bc00-0393-8e51-c380b0672e6b
38,242437,242437,بندر انزلی,242290,گیلان,True,,,,,,SUPPRESSED,ebdf2850-4064-d68b-b39d-eac62bbf6f1a
39,242600,242600,سمنان,242292,سمنان,True,,,,,,SUPPRESSED,7951069c-7486-8185-4b55-e2b6d7b39cdd
40,242448,242448,بوشهر,242298,بوشهر,True,,,,,,SUPPRESSED,5c987c40-1f39-392e-f517-c5e40132c262
41,242354,242354,آبادان,242311,خوزستان,False,,,,,,SUPPRESSED,2145f2fe-31c7-cc1a-7ca1-2eafe5f4832c
42,242603,242603,سنندج,242295,کردستان,False,,,,,,SUPPRESSED,5146b14d-661f-4753-60ba-2495368f1e7f
43,242696,242696,ملایر,242288,همدان,False,,,,,,SUPPRESSED,01cbda00-4ab7-062d-f1ca-b452e0643f9e
44,242550,242550,رباط کریم,242305,تهران,True,,,,,,SUPPRESSED,1b7b5a5a-4ac9-992b-83b4-7d5e8609f010
45,242689,242689,لنگرود,242290,گیلان,True,,,,,,SUPPRESSED,68ef9fc8-8e21-3d17-c1c1-f3f120467f85
46,242418,242418,بجنورد,242281,خراسان شمالی,False,,,,,,SUPPRESSED,d2cc6a24-9362-10a2-865e-fdf39011d81a
47,242584,242584,ساوه,242285,مرکزی,True,,,,,,SUPPRESSED,91b55a64-5965-7969-abae-e2812d00bed0
48,242772,242772,گنبد کاووس,242301,گلستان,False,,,,,,SUPPRESSED,2af82df5-6821-644a-c183-0110f46d84fb
49,242447,242447,تنکابن,242300,مازندران‎,True,,,,,,SUPPRESSED,15957f22-f92a-9f92-8db0-9d9ec45b83c8
50,242387,242387,اسکو,242308,آذربایجان شرقی,False,,,,,,SUPPRESSED,9b1963f4-ed70-447d-e0d3-edbec609b86c
51,242441,242441,بهشهر,242300,مازندران‎,False,,,,,,SUPPRESSED,d7dcac28-cf84-e0c5-b4e4-9af498112c3b
52,242694,242694,مراغه,242308,آذربایجان شرقی,False,,,,,,SUPPRESSED,ce6ab62c-0528-84ac-9fd9-084768f8c803
53,242472,242472,قدس,242305,تهران,True,,,,,,SUPPRESSED,bf084393-d532-0d3f-f3c5-222713890f66
54,242402,242402,ایلام,242283,ایلام,False,,,,,,SUPPRESSED,7394b16b-c40b-726e-c4a8-a1bf3e5e7684
55,242573,242573,ری,242305,تهران,False,,,,,,SUPPRESSED,466584da-403e-9f20-a178-0656fc409be4
56,242633,242633,صومعه سرا,,,,,,,,,SUPPRESSED,66ed7e25-fcf0-1192-5a9e-0f85928694aa
57,242356,242356,آبیک,242289,قزوین,False,,,,,,SUPPRESSED,2e4d2407-4720-6e33-33e9-27dffe7f043a
58,242352,242352,سقز,242295,کردستان,False,,,,,,SUPPRESSED,801f2fbe-17d4-5dec-8009-d91855b7e129
59,242369,242369,آستارا,242290,گیلان,True,,,,,,SUPPRESSED,312be5f2-cdf7-bcf1-bcc4-ce84bb7c8d73
60,242744,242744,ورامین,242305,تهران,True,,,,,,SUPPRESSED,3f1e2e06-cac2-7049-430f-378df5d21f58
61,242520,242520,دزفول,242311,خوزستان,False,,,,,,SUPPRESSED,819bef99-0e4a-594a-2ebf-b7a648984e36
62,242732,242732,نیشابور,242302,خراسان رضوی,False,,,,,,SUPPRESSED,3e21fc08-87a5-c697-cdb5-a68e673af26d
63,242728,242728,نوشهر,242300,مازندران‎,True,,,,,,SUPPRESSED,1f404a14-7b72-0a1e-2ed4-1eacfc00d6e4
64,242562,242562,رودسر,242290,گیلان,True,,,,,,SUPPRESSED,5b76a404-0f6d-fe5c-a9bd-5b8dc560ed14
65,242628,242628,شهرکرد,242286,چهارمحال و بختیاری,False,,,,,,SUPPRESSED,a6e3b3e1-a815-ccbf-d46b-7fe4717d65c9
66,242517,242517,دامغان,242292,سمنان,False,,,,,,SUPPRESSED,5e7ed2c2-12a8-1c56-c00b-87bf17d5e0ee
67,242380,242380,ابهر,242291,زنجان,False,,,,,,SUPPRESSED,33bdcdd7-1313-348f-80e3-7d01f28db310
68,242751,242751,چالوس,242300,مازندران‎,True,,,,,,SUPPRESSED,c52fb0f6-9386-b118-6753-8a27a4cb1872
69,242453,242453,بیرجند,242303,خراسان جنوبی,False,,,,,,SUPPRESSED,36552aed-3fb6-8c1b-806a-ca465ddc5fc9
